Model,Manufacturer,Firebox Volume,Emission Rate (grams/hr),Heat Ouput Range (BTUs),Heat Output Upper (BTUs),Heat Output Lower (BTUs),Efficiency,Type,Subtype,Fuel Type,Test Method,CO,NSPS Compliance 2020
F5200,FPI/Regency Fireplace Products,4.42,0.84,36398-13876,36398,13876,80,Wood Stove,Catalytic Stove,Crib Wood,,1,Yes
"FP16 LE, FP16 AR LE",Pacific Energy Fireplace Products Limited,1.33,1.4,46972-12229,46972,12229,63,Wood Stove,Non-Catalytic Stove,Cord Wood,,0.9,Yes
Farringdon 16,ARADA STOVES Ltd. ,1.57,1.5,27025-8928,27025,8928,77,Wood Stove,Catalytic Stove,Crib Wood,,0.91,Yes
"Focus 320 SBR, Onyx SBR","RSF / Industrial Chimney Company, Incorporated",2.1,1.4,22563-21131,22563,21131,66,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.5,Yes
Fusion 18 18FN,"Foyers Supreme, Inc",1.86,1.9,22421-10958,22421,10958,67,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.8,Yes
"GV300GL, ML300GL",Innovative Hearth Products,2.92,1.8,39232-13693,39232,13693,74,Wood Stove,Non-Catalytic Stove,Crib Wood,,2.5,Yes
"Green Mountain 40 Series: Green Mountain 40 (8640), Craftsbury 2 (8392), Hipster 14 (AMB8240)",Hearthstone Quality Home Heating Products Inc.,1.32,1.1,31581-13876,31581,13876,79,Wood Stove,Hybrid,Crib Wood,,0.52,Yes
"Green Mountain 60 8660, Hipster 20 AMB8260, Shelburne 8372",Hearthstone Quality Home Heating Products Inc.,2.03,0.6,33576-12608,33576,12608,79,Wood Stove,Hybrid,Crib Wood,,0.49,Yes
Green Mountain 80 8680,Hearthstone Quality Home Heating Products Inc.,3.16,0.67,33396-15069,33396,15069,81,Wood Stove,Hybrid,Crib Wood,,0.23,Yes
"HE350, FP-15-Waterloo, Horizon, Monaco XL, WFP100, FP-15A Waterloo, St. Clair 4300, Solution 4.5 ZC","Stove Builder International, Inc.",4.28,1.6,43000-16600,43000,16600,64,Wood Stove,Non-Catalytic Stove,Cord Wood,,2.6,Yes
HP 21,"SMG Hearth and Home, LLC",Not Applicable,1.5,31753-12349,31753,12349,76,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0,Yes
HP 61 ,"SMG Hearth and Home, LLC",Not Applicable,1.2,39769-17617,39769,17617,80,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.51,Yes
Harman Absolute 43-C ,Hearth and Home Technologies,Not Applicable,0.99,44183-14141,44183,14141,77,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.1,Yes
Harman Absolute 63 ,Hearth and Home Technologies,Not Applicable,1.4,46399-10164,46399,10164,77,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.93,Yes
Harman Accentra 52i-TC,Hearth and Home Technologies,Not Applicable,1.1,50262-11186,50262,11186,76,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.25,Yes
Harman Accentra-2,Hearth and Home Technologies,Not Applicable,0.62,25210-6253,25210,6253,71,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.07,Yes
Harman Allure 50,Hearth and Home Technologies,Not Applicable,1.5,39105-9001,39105,9001,75,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.51,Yes
Harman P43-C ,Hearth and Home Technologies,Not Applicable,1.8,33252-18783,33252,18783,77,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,1.866,Yes
Harman P61-C,Hearth and Home Technologies,Not Applicable,1.5,46831-17085,46831,17085,79,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.18,Yes
Harman P68-C,Hearth and Home Technologies,Not Applicable,1.4,52664-15756,52664,15756,79,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.2,Yes
Harman XXV-TC,Hearth and Home Technologies,Not Applicable,1.7,35283-7096,35283,7096,72,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.58,Yes
Heritage 8024,Hearthstone Quality Home Heating Products Inc.,2.18,0.54,35845-12317,35845,12317,77,Wood Stove,Hybrid,Crib Wood,,1.14,Yes
"Invicta Group: Kazan, Kazan GA, Kiara, Kiara GA ",Energy Distribution,1.53,1.8,23830-23070,23830,23070,63,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.95,Yes
"Jessica 11 Air, Veronica 11 Air ",Laminox,Not Applicable,1.6,21400-7900,21400,7900,73,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.28,Yes
"Jessica Natural, Veronica Natural ",Laminox,Not Applicable,1.2,17096-5350,17096,5350,61,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.17,Yes
"Kozi 100 Free Standing, Kozi 100 Insert, XLMS-BD, XLCS-GD, XLMI-BD, XLCI-GD, KSH-120, KSH-120DX P",APR Industries Ltd.,Not Applicable,1.4,26002-7193,26002,7193,72,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.11,Yes
Manchester 8362,Hearthstone Quality Home Heating Products Inc.,2.45,0.65,33038-14111,33038,14111,78,Wood Stove,Hybrid,Crib Wood,,0.87,Yes
"Model 55 Series (Eco-55, Eco-55 ST, Eco-55 CT, Osburn 250, HEP55, P40)","Stove Builder International, Inc.",Not Applicable,0.96,28500-6600,28500,6600,70,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.127,Yes
"Montecito Estate CAT, WCT6940WS",Innovative Hearth Products,2.8,1.3,39519-13899,39519,13899,79,Wood Stove,Catalytic Stove,Crib Wood,,2.36,Yes
"OPEL PLUS Series: Opel+ 2C, Opel+ 3C, Opel+ 4C, Opel+ Keystone, Opel+ Keystone-AK","RSF / Industrial Chimney Company, Incorporated",2.32,0.7,27034-11723,27034,11723,70,Wood Stove,Catalytic Stove,Crib Wood,,0.58,Yes
P40i-C,Hearth and Home Technologies,Not Applicable,0.69,33126-14449,33126,14449,82,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.27,Yes
"PS130W Model Line: C130W, N130WTS, H140XL, C140XL, J140XL, N140XL, J130W, N130W, 
H130W, C130WTS, H130WTS, J130WTS, and PS130WTS","Enerco Group, Inc.  ",Not Applicable,1.6,29501-12746,29501,12746,77,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.28,Yes
"PS20W Model Line: PS20W, PS20WTS, C30XL, H30XL, J30XL, N30XL, C20W, H20W, J20W, 
N20W, C20WTS, H20WTS, J20WTS, and N20WTS","Enerco Group, Inc.  ",Not Applicable,1.2,28423-12876,28423,12876,85,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.37,Yes
"PS60W Model Line: C60W, N60WTS, H80XL, C80XL, J80XL, N80XL, J60W, N60W, H60W, 
C60WTS, H60WTS, J60WTS, and PS60WTS","Enerco Group, Inc.  ",Not Applicable,1.3,30124-10771,30124,10771,84,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.17,Yes
"PSBF66W Model Line: CBF66W, NBF66WTS, H3W80XL, C3W80XL, J3W80XL, N3W80XL, 
JBF66W, NBF66W, HBF66W, CBF66WTS, HBF66WTS, JBF66WTS, and PSBF66WTS","Enerco Group, Inc.  ",Not Applicable,1.1,30173-11624,30173,11624,80,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.18,Yes
"Pel-Pro PP60-B, Pleasant Hearth PH35PS-B,  Quadra-Fire Outfitter-I",Hearth and Home Technologies,Not Applicable,0.74,26020-6815,26020,6815,75,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.22,Yes
"PelPro PP130-B, Quadra-Fire Outfitter II, PelPro PP150",Hearth and Home Technologies,Not Applicable,0.53,40637-9605,40637,9605,82,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.16,Yes
PelPro PP70,Hearth and Home Technologies,Not Applicable,0.5,35278-9603,35278,9603,83,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.07,Yes
"PelPro PPC90, PelPro TSC90, Pleasant Hearth PHC90 ",Hearth and Home Technologies,Not Applicable,1.1,47378-11055,47378,11055,82,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.43,Yes
"Polaris, Centauri, Vega, Sirius, Antares, Rigel",J. A. Roby Inc. ,1.55,1.4,21846-11527,21846,11527,73,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.3,Yes
Princess PE32 ,"Blaze King Industries, Inc.",2.86,0.55,34435-11358,34435,11358,82,Wood Stove,Catalytic Stove,Crib Wood,,0.62,Yes
